t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4
4.028972475720741,7.990193640885566,-4.851459333623507,-6.480753589104626,-19.46493888379308,-1.6086405515373243,1.8074927616834162,0.4523971867802352,0.11260872744247379,0.6692411670648556,-0.5785951263218018,1.0871387304024993,0.13587941913945026,0.4079051023204948,6.899993053854452,6.899906982890691,6.784979140467371,6.8999972001631455
4.049546851608924,7.589714671649887,-4.88455610899981,-6.443565553610581,-19.70275046276623,-1.1701015173483404,1.969858059979959,0.4525975083107291,0.12127642432139436,0.6628822943303385,-0.5839816677248019,1.136235393038557,0.09484122946754898,0.40633272091115086,6.8999927928366676,6.899838136907546,6.772516347949072,6.899997120773433
4.070121227497108,7.184342877597852,-4.9086302174450696,-6.403036953438185,-19.932037945216432,-0.7279239358032106,2.125795215414931,0.452939150816016,0.1298972394517347,0.6559401160168689,-0.5896739752110658,1.191148797742404,0.04876892252322299,0.40459076850652465,6.8999924374328625,6.899673705484468,6.760100746357285,6.899997038282702
4.090695603385291,6.774253636695431,-4.923606798118291,-6.359300043614936,-20.152529200831275,-0.28232320431311225,2.274763612194432,0.45343462205762836,0.13846167622441216,0.6483467260101059,-0.5957112812505062,1.251939461162032,-0.0022341193122251066,0.40268119981610373,6.899991977387768,6.899156819176882,6.755841489659456,6.899996952716773
4.111269979273475,6.359627925819934,-4.9294154218457855,-6.312498202000886,-20.36397991812361,0.16658364620151905,2.416137349832977,0.45409243842325353,0.14696004113157451,0.6400320364152652,-0.6021310455707487,1.3152388984016234,-0.05441382886951039,0.4007204332874358,6.899991401185477,6.8963294232636345,6.76552611538004,6.899996864153799
4.131844355161658,5.940651748405037,-4.925988067292011,-6.262787683967942,-20.566128107025513,0.6187084886446456,2.549208985454886,0.4548989054137163,0.15538973798886116,0.6309619308305325,-0.6089401095545705,1.375975327669105,-0.10066152752267635,0.39893086240971254,6.899990699190289,6.588841544734194,6.729197813378914,6.899996772770478
4.152418731049842,5.517516498166557,-4.913258526281426,-6.210339300083659,-20.756123595801828,1.0679260061609477,2.6742744458485523,0.45580202546089793,0.1637697395128332,0.6211658861136533,-0.6160981479722601,1.5871470261015879,-0.028112240126472145,0.4008512943567174,6.899989867643115,6.290454549325487,6.533328247835666,6.8999966790567
4.1729931069380255,5.090472209324935,-4.891286615209904,-6.155317772406606,-20.932795983355124,1.5113226422091126,2.7914403071774854,0.45578367109692564,0.17357041709212778,0.6102129941573162,-0.624319355165286,2.0134414605317725,0.09097625177132716,0.40417437576992926,6.899988901488078,6.368882236570198,5.125136447036831,6.899996583596833
4.193567482826209,4.659792996372729,-4.860192095080771,-6.09788563025731,-21.089159577963706,1.935090097278055,2.9034576004300225,0.45411175878905863,0.18609075049613982,0.5968531398881354,-0.6347590665091332,3.0191205052009336,-0.43511494203433393,0.38715760077640154,6.89998778047717,6.674431293062843,6.70256136059921,6.899996486723016
4.214141858714393,4.225896700049817,-4.820378824041871,-6.038148802210659,-21.240491355331983,2.393655832803742,2.997285791680892,0.4533050663927952,0.1996307036764415,0.5740777041110802,-0.6519945464308163,3.207200446529713,-0.3987925353949055,0.3875425943527739,6.899986472590411,6.327796536207291,6.898502125587533,6.899996380536976
4.234716234602576,3.7888868468555033,-4.771130849190824,-5.976481517688304,-21.368504830512443,2.8510814597647984,3.070606824636053,0.4514200747652274,0.21408055566047945,0.5496028250173273,-0.6695716291187053,3.46076375729754,-0.1241408633977463,0.3953511009389696,6.899984923155977,6.772244345918345,6.899608652887351,6.899996255974669
4.25529061049076,3.3492431963040743,-4.7124716275497915,-5.913305698673421,-21.473304332936305,3.3158976815685883,3.120277093666962,0.4469363306083104,0.2313832889944759,0.5239811676742189,-0.6871342124213353,3.5176948737863034,-0.04040765293661237,0.3970938493431427,6.899983027547425,6.896428234355659,6.8998358238789175,6.8999961040503575
4.275864986378943,2.907443361396882,-4.644249102242443,-5.849107944873028,-21.54886856304164,3.781633341681604,3.1493617507697147,0.44129539386396227,0.24924623962848763,0.49765480521573113,-0.7038994120126838,3.519646440522802,-0.01018670329268213,0.39714065075876887,6.899980626807227,6.899008004173449,6.899913543586028,6.89999591540032
4.296439362267127,2.464088839615801,-4.566444356399398,-5.784311792404824,-21.59325829621046,4.2442290922586645,3.160027573181702,0.4349101607374185,0.26700653508231986,0.47079157915589454,-0.7196637765701072,3.520190125932275,0.018960598388197008,0.3971532494906777,6.899977487192522,6.899564839456056,6.8999477890783405,6.899995679441415
4.31701373815531,2.0198210267789296,-4.479121991699704,-5.719296197297159,-21.605918775095777,4.701453116080948,3.153757785731092,0.4278055236455797,0.2846307609572775,0.4434300856289386,-0.7343960260069882,3.520236196591871,0.04788390416684752,0.3971587378976997,6.899973247163913,6.899761110900176,6.899965402270396,6.899995383268819
4.337588114043494,1.5752927324905466,-4.382392528068782,-5.654409599153243,-21.58649153041416,5.151127147559338,3.132117086473927,0.42000128885849297,0.30209590289665195,0.4156070490883992,-0.7480693574521031,3.519950594870081,0.0767282875023738,0.3971618358693495,6.8999673188285175,6.899849661952033,6.899975469119355,6.899995010346323
